name,artists,album,duration,explicit,popularity,preview_url,uri
UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY) (Feat. Tainy),232253,false,74,,spotify:track:0EhpEsp4L0oRGM0vmeaN5e
Rise & Fall (feat. Sting),"Craig David, Sting",Slicker than Your Average,287226,false,61,https://p.scdn.co/mp3-preview/95be2c868260d510097ba41ca1d7f410584d5268?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:23ehR4jpFQFMfDADgFdXR7
Over Now (with The Weeknd),"Calvin Harris, The Weeknd",Over Now (with The Weeknd),210795,true,71,https://p.scdn.co/mp3-preview/727173ec70f675962c7c1c108868e4a58b5d0c1e?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:58AGoOGbwsQMhBbH0eFLRR
Deep End,Fousheé,Deep End,141223,true,67,https://p.scdn.co/mp3-preview/5daf2dc408662e8d9ee90314b2b9a412d9795133?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6HlE9t71z9DjGi7KqSyEpA
Secrets,"Regard, RAYE",Secrets,176766,true,70,https://p.scdn.co/mp3-preview/cca990295ff935ca47ec7edc6252f6bcc2086a8b?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:66W1rVTnEv86dIkFhoiElg
Heartbeat,"Claptone, Nathan Nicholson",Charmer,329537,false,65,https://p.scdn.co/mp3-preview/40624f3e845d47a9a4f89eba0ef4b3f031fd2fc1?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:68Q6c22JNyLUlZYX4dE2tn
Starboy,"The Weeknd, Daft Punk",Starboy,230453,true,93,,spotify:track:7MXVkk9YMctZqd1Srtv4MB
Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,168387,false,77,,spotify:track:7CHi4DtfK4heMlQaudCuHK
Walking Away,Craig David,Born to Do It,204866,false,63,https://p.scdn.co/mp3-preview/a2728bac3278223f3875ccfc684a1135d056cf48?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:3R7fjB38qajI6JR69y5k4e
Attention,Charlie Puth,Voicenotes,208786,false,83,https://p.scdn.co/mp3-preview/db76d34af2f966975e0c1b8b9e43dca882e27229?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:5cF0dROlMOK5uNZtivgu50
That's What I Like,Bruno Mars,24K Magic,206693,false,85,https://p.scdn.co/mp3-preview/93046e987d8c5bfdbeea2768ac1a8ecea17bd7e0?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
24K Magic,Bruno Mars,24K Magic,225983,false,80,https://p.scdn.co/mp3-preview/3a76820d510fa5f84abb413e9d13815bcc86da0f?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6b8Be6ljOzmkOmFslEb23P
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),137875,true,76,https://p.scdn.co/mp3-preview/f653a289186d0de9a7685e2958ed5d86e073f3c0?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:67BtfxlNbhBmCDR2L2l8qd
